"DisplayName","Enabled","Direction","Action","Protocol","Port"
"SNMP Trap Service (UDP In)","False","Inbound","Allow",,
"SNMP Trap Service (UDP In)","False","Inbound","Allow",,
"WFD Driver-only (TCP-In)","True","Inbound","Allow",,
"WFD Driver-only (TCP-Out)","True","Outbound","Allow",,
"WFD Driver-only (UDP-In)","True","Inbound","Allow",,
"WFD Driver-only (UDP-Out)","True","Outbound","Allow",,
"Delivery Optimization (TCP-In)","True","Inbound","Allow",,
"Delivery Optimization (UDP-In)","True","Inbound","Allow",,
"Windows Collaboration Computer Name Registration Service (PNRP-In)","False","Inbound","Allow",,
"Windows Collaboration Computer Name Registration Service (PNRP-Out)","False","Outbound","Allow",,
"Windows Collaboration Computer Name Registration Service (SSDP-In)","False","Inbound","Allow",,
"Windows Collaboration Computer Name Registration Service (SSDP-Out)","False","Outbound","Allow",,
"Connected Devices Platform (UDP-In)","True","Inbound","Allow",,
"Connected Devices Platform (UDP-Out)","True","Outbound","Allow",,
"Connected Devices Platform (TCP-In)","True","Inbound","Allow",,
"Connected Devices Platform (TCP-Out)","True","Outbound","Allow",,
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","True","Inbound","Allow",,
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)","True","Outbound","Allow",,
"Core Networking - Destination Unreachable (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Packet Too Big (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Packet Too Big (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Time Exceeded (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Time Exceeded (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Parameter Problem (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Parameter Problem (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Router Advertisement (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Router Advertisement (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Router Solicitation (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Router Solicitation (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Multicast Listener Query (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Multicast Listener Query (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Multicast Listener Report (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Multicast Listener Report (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Multicast Listener Report v2 (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Multicast Listener Done (ICMPv6-In)","True","Inbound","Allow",,
"Core Networking - Multicast Listener Done (ICMPv6-Out)","True","Outbound","Allow",,
"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","True","Inbound","Allow",,
"Core Networking - Internet Group Management Protocol (IGMP-In)","True","Inbound","Allow",,
"Core Networking - Internet Group Management Protocol (IGMP-Out)","True","Outbound","Allow",,
"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","True","Inbound","Allow",,
"Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","True","Outbound","Allow",,
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","True","Inbound","Allow",,
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)","True","Outbound","Allow",,
"Core Networking - Teredo (UDP-In)","True","Inbound","Allow",,
"Core Networking - Teredo (UDP-Out)","True","Outbound","Allow",,
"Core Networking - IPHTTPS (TCP-In)","True","Inbound","Allow",,
"Core Networking - IPHTTPS (TCP-Out)","True","Outbound","Allow",,
"Core Networking - IPv6 (IPv6-In)","True","Inbound","Allow",,
"Core Networking - IPv6 (IPv6-Out)","True","Outbound","Allow",,
"Core Networking - Group Policy (NP-Out)","True","Outbound","Allow",,
"Core Networking - Group Policy (TCP-Out)","True","Outbound","Allow",,
"Core Networking - DNS (UDP-Out)","True","Outbound","Allow",,
"Core Networking - Group Policy (LSASS-Out)","True","Outbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","False","Inbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","False","Inbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Outbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","False","Inbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","False","Inbound","Allow",,
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Outbound","Allow",,
"Performance Logs and Alerts (TCP-In)","False","Inbound","Allow",,
"Performance Logs and Alerts (DCOM-In)","False","Inbound","Allow",,
"Performance Logs and Alerts (TCP-In)","False","Inbound","Allow",,
"Performance Logs and Alerts (DCOM-In)","False","Inbound","Allow",,
"Remote Volume Management - Virtual Disk Service (RPC)","False","Inbound","Allow",,
"Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Inbound","Allow",,
"Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Volume Management - Virtual Disk Service (RPC)","False","Inbound","Allow",,
"Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Inbound","Allow",,
"Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Device Management Sync Client (TCP out)","True","Outbound","Allow",,
"Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow",,
"Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow",,
"Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow",,
"iSCSI Service (TCP-In)","False","Inbound","Allow",,
"iSCSI Service (TCP-Out)","False","Outbound","Allow",,
"iSCSI Service (TCP-In)","False","Inbound","Allow",,
"iSCSI Service (TCP-Out)","False","Outbound","Allow",,
"Remote Service Management (RPC)","False","Inbound","Allow",,
"Remote Service Management (NP-In)","False","Inbound","Allow",,
"Remote Service Management (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Service Management (RPC)","False","Inbound","Allow",,
"Remote Service Management (NP-In)","False","Inbound","Allow",,
"Remote Service Management (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Device Management Device Enroller (TCP out)","True","Outbound","Allow",,
"Virtual Machine Monitoring (Echo Request - ICMPv4-In)","False","Inbound","Allow",,
"Virtual Machine Monitoring (Echo Request - ICMPv6-In)","False","Inbound","Allow",,
"Virtual Machine Monitoring (NB-Session-In)","False","Inbound","Allow",,
"Virtual Machine Monitoring (RPC)","False","Inbound","Allow",,
"Virtual Machine Monitoring (DCOM-In)","False","Inbound","Allow",,
"Proximity sharing over TCP (TCP sharing-In)","True","Inbound","Allow",,
"Proximity sharing over TCP (TCP sharing-Out)","True","Outbound","Allow",,
"Network Discovery (UPnP-In)","False","Inbound","Allow",,
"Network Discovery (UPnP-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Name-In)","False","Inbound","Allow",,
"Network Discovery (NB-Name-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Datagram-In)","False","Inbound","Allow",,
"Network Discovery (NB-Datagram-Out)","False","Outbound","Allow",,
"Network Discovery (WSD EventsSecure-In)","False","Inbound","Allow",,
"Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow",,
"Network Discovery (WSD Events-In)","False","Inbound","Allow",,
"Network Discovery (WSD Events-Out)","False","Outbound","Allow",,
"Network Discovery (SSDP-In)","True","Inbound","Allow",,
"Network Discovery (SSDP-Out)","True","Outbound","Allow",,
"Network Discovery (UPnP-In)","True","Inbound","Allow",,
"Network Discovery (UPnP-Out)","True","Outbound","Allow",,
"Network Discovery (UPnPHost-Out)","True","Outbound","Allow",,
"Network Discovery (NB-Name-In)","True","Inbound","Allow",,
"Network Discovery (NB-Name-Out)","True","Outbound","Allow",,
"Network Discovery (NB-Datagram-In)","True","Inbound","Allow",,
"Network Discovery (NB-Datagram-Out)","True","Outbound","Allow",,
"Network Discovery (WSD-In)","True","Inbound","Allow",,
"Network Discovery (WSD-In)","True","Inbound","Allow",,
"Network Discovery (WSD-Out)","True","Outbound","Allow",,
"Network Discovery (LLMNR-UDP-In)","True","Inbound","Allow",,
"Network Discovery (LLMNR-UDP-Out)","True","Outbound","Allow",,
"Network Discovery (Pub-WSD-In)","True","Inbound","Allow",,
"Network Discovery (Pub WSD-Out)","True","Outbound","Allow",,
"Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow",,
"Network Discovery (WSD EventsSecure-Out)","True","Outbound","Allow",,
"Network Discovery (WSD Events-In)","True","Inbound","Allow",,
"Network Discovery (WSD Events-Out)","True","Outbound","Allow",,
"Network Discovery (SSDP-In)","False","Inbound","Allow",,
"Network Discovery for Teredo (SSDP-In)","True","Inbound","Allow",,
"Network Discovery (SSDP-Out)","False","Outbound","Allow",,
"Network Discovery (UPnPHost-Out)","False","Outbound","Allow",,
"Network Discovery (UPnP-In)","False","Inbound","Allow",,
"Network Discovery for Teredo (UPnP-In)","True","Inbound","Allow",,
"Network Discovery (UPnP-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Name-In)","False","Inbound","Allow",,
"Network Discovery (NB-Name-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Datagram-In)","False","Inbound","Allow",,
"Network Discovery (NB-Datagram-Out)","False","Outbound","Allow",,
"Network Discovery (WSD-In)","False","Inbound","Allow",,
"Network Discovery (WSD-In)","False","Inbound","Allow",,
"Network Discovery (WSD-Out)","False","Outbound","Allow",,
"Network Discovery (LLMNR-UDP-In)","False","Inbound","Allow",,
"Network Discovery (LLMNR-UDP-Out)","False","Outbound","Allow",,
"Network Discovery (Pub-WSD-In)","False","Inbound","Allow",,
"Network Discovery (Pub WSD-Out)","False","Outbound","Allow",,
"Network Discovery (WSD EventsSecure-In)","False","Inbound","Allow",,
"Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow",,
"Network Discovery (WSD Events-In)","False","Inbound","Allow",,
"Network Discovery (WSD Events-Out)","False","Outbound","Allow",,
"Remote Event Monitor (RPC)","False","Inbound","Allow",,
"Remote Event Monitor (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow",,
"mDNS (UDP-In)","True","Inbound","Allow",,
"mDNS (UDP-In)","True","Inbound","Allow",,
"mDNS (UDP-In)","True","Inbound","Allow",,
"mDNS (UDP-Out)","True","Outbound","Allow",,
"mDNS (UDP-Out)","True","Outbound","Allow",,
"mDNS (UDP-Out)","True","Outbound","Allow",,
"AllJoyn Router (TCP-In)","True","Inbound","Allow",,
"AllJoyn Router (TCP-Out)","True","Outbound","Allow",,
"AllJoyn Router (UDP-In)","True","Inbound","Allow",,
"AllJoyn Router (UDP-Out)","True","Outbound","Allow",,
"Windows Device Management Certificate Installer (TCP out)","True","Outbound","Allow",,
"Routing and Remote Access (GRE-In)","False","Inbound","Allow",,
"Routing and Remote Access (GRE-Out)","False","Outbound","Allow",,
"Routing and Remote Access (L2TP-In)","False","Inbound","Allow",,
"Routing and Remote Access (L2TP-Out)","False","Outbound","Allow",,
"Routing and Remote Access (PPTP-In)","False","Inbound","Allow",,
"Routing and Remote Access (PPTP-Out)","False","Outbound","Allow",,
"Netlogon Service (NP-In)","False","Inbound","Allow",,
"Netlogon Service Authz (RPC)","False","Inbound","Allow",,
"Wi-Fi Direct Network Discovery (In)","True","Inbound","Allow",,
"Wi-Fi Direct Network Discovery (Out)","True","Outbound","Allow",,
"Wi-Fi Direct Spooler Use (In)","True","Inbound","Allow",,
"Wi-Fi Direct Spooler Use (Out)","True","Outbound","Allow",,
"Wi-Fi Direct Scan Service Use (In)","True","Inbound","Allow",,
"Wi-Fi Direct Scan Service Use (Out)","True","Outbound","Allow",,
"TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow",,
"TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow",,
"Remote Event Log Management (RPC)","False","Inbound","Allow",,
"Remote Event Log Management (NP-In)","False","Inbound","Allow",,
"Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Event Log Management (RPC)","False","Inbound","Allow",,
"Remote Event Log Management (NP-In)","False","Inbound","Allow",,
"Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow",,
"Wireless Display (TCP-In)","True","Inbound","Allow",,
"Wireless Display (TCP-Out)","True","Outbound","Allow",,
"Wireless Display (UDP-Out)","True","Outbound","Allow",,
"Wireless Display Infrastructure Back Channel (TCP-In)","True","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (TCP-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (TCP-Out)","False","Outbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (WSD-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (WSD-Out)","False","Outbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (PNRP-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (PNRP-Out)","False","Outbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (SSDP-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (SSDP-Out)","False","Outbound","Allow",,
"Windows Device Management Enrollment Service (TCP out)","True","Outbound","Allow",,
"DIAL protocol server (HTTP-In)","True","Inbound","Allow",,
"DIAL protocol server (HTTP-In)","True","Inbound","Allow",,
"Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow",,
"Windows Management Instrumentation (ASync-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow",,
"Windows Management Instrumentation (ASync-In)","False","Inbound","Allow",,
"Windows Remote Management (HTTP-In)","False","Inbound","Allow",,
"Windows Remote Management (HTTP-In)","False","Inbound","Allow",,
"Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow",,
"Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow",,
"Recommended Troubleshooting Client (HTTP/HTTPS Out)","True","Outbound","Allow",,
